É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/04/25 00:17:23

,,èºëO,èºëO,èºëO,èºëO
îN,åé,ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à )
,,,ãœéøî‘çÜ,,ãœéøî‘çÜ
2009,1,5.3,1,êºñkêº,1
2009,2,6.0,1,êºñkêº,1
2009,3,5.6,1,êºñkêº,1
2009,4,4.1,1,êºñkêº,1
2009,5,3.8,1,êºñkêº,1
2009,6,3.6,1,ìå,1
2009,7,3.3,1,êºñkêº,1
2009,8,3.4,1,ìå,1
2009,9,3.5,1,ìå,1
2009,10,4.5,1,êº,1
2009,11,5.0,1,ñkêº,1
2009,12,6.8,1,êºñkêº,1
2010,1,7.1,1,êºñkêº,1
2010,2,5.4,1,êºñkêº,1
2010,3,6.0,1,êºñkêº,1
2010,4,5.4,1,êº,1
2010,5,4.1,1,êºñkêº,1
2010,6,2.7,1,êºñkêº,1
2010,7,3.1,1,êºñkêº,1
2010,8,3.0,1,êº,1
2010,9,4.0,1,ñkêº,1
2010,10,4.1,1,êºñkêº,1
2010,11,5.7,1,êºñkêº,1
2010,12,6.5,1,êº,1
2011,1,7.2,1,êºñkêº,1
2011,2,5.4,1,êºñkêº,1
2011,3,5.5,1,êºñkêº,1
2011,4,5.2,1,êºñkêº,1
2011,5,4.3,1,êºñkêº,1
2011,6,3.1,1,êºñkêº,1
2011,7,3.9,1,ìå,1
2011,8,3.4,1,ìåñkìå,1
2011,9,3.6,1,ìåñkìå,1
2011,10,5.0,1,êº,1
2011,11,5.5,1,êºñkêº,1
2011,12,7.3,1,êºñkêº,1
2012,1,6.4,1,êºñkêº,1
2012,2,6.9,1,êºñkêº,1
2012,3,5.5,1,êºñkêº,1
2012,4,4.7,1,êºñkêº,1
2012,5,3.9,1,êºñkêº,1
2012,6,4.0,1,ìå,1
2012,7,3.7,1,ìå,1
2012,8,2.8,1,ìå,1
2012,9,3.5,1,ìå,1
2012,10,5.0,1,êºñkêº,1
2012,11,5.7,1,êºñkêº,1
2012,12,6.6,1,êºñkêº,1
2013,1,6.0,1,êºñkêº,1
2013,2,6.9,1,êºñkêº,1
2013,3,6.7,1,êºñkêº,1
2013,4,5.3,1,êº,1
2013,5,3.9,1,ìå,1
2013,6,3.4,1,ìå,1
2013,7,3.9,1,ìå,1
2013,8,3.6,1,êºñkêº,1
2013,9,3.4,1,ìåñkìå,1
2013,10,4.8,1,êºñkêº,1
2013,11,5.8,1,êºñkêº,1
2013,12,6.5,1,êºñkêº,1
2014,1,7.1,1,êºñkêº,1
2014,2,5.7,1,êºñkêº,1
2014,3,5.1,1,êºñkêº,1
2014,4,4.0,1,êºñkêº,1
2014,5,3.6,1,êºñkêº,1
2014,6,4.0,1,ìåñkìå,1
2014,7,3.5,1,ìå,1
2014,8,4.2,1,ìå,1
2014,9,3.7,1,êºñkêº,1
2014,10,4.2,1,êºñkêº,1
2014,11,5.4,1,êº,1
2014,12,7.3,1,êºñkêº,1
2015,1,6.1,1,êºñkêº,1
2015,2,5.4,1,ñkêº,1
2015,3,5.2,1,êº,1
2015,4,4.1,1,êºñkêº,1
2015,5,3.8,1,êºñkêº,1
2015,6,3.9,1,êºñkêº,1
2015,7,3.0,1,êºñkêº,1
2015,8,4.3,1,ìå,1
2015,9,4.7,1,ìå,1
2015,10,5.5,1,êºñkêº,1
2015,11,4.4,1,ñkêº,1
2015,12,6.3,1,êºñkêº,1
2016,1,6.9,1,êºñkêº,1
2016,2,6.2,1,êºñkêº,1
2016,3,4.8,1,êºñkêº,1
2016,4,4.7,1,ñkêº,1
2016,5,4.2,1,ìå,1
2016,6,4.2,1,ìå,1
2016,7,4.0,1,ìå,1
2016,8,3.6,1,ìå,1
2016,9,3.6,1,ìå,1
2016,10,5.2,1,êºñkêº,1
2016,11,5.9,1,êºñkêº,1
2016,12,6.0,1,êºñkêº,1
2017,1,5.5,1,êºñkêº,1
2017,2,5.8,1,êºñkêº,1
2017,3,4.5,1,êºñkêº,1
2017,4,4.5,1,êº,1
2017,5,4.1,1,êºñkêº,1
2017,6,3.5,1,êºñkêº,1
2017,7,2.8,1,êºñkêº,1
2017,8,4.8,1,ìå,1
2017,9,4.0,1,ñkêº,1
2017,10,4.2,1,ñkêº,1
2017,11,6.5,1,êºñkêº,1
2017,12,7.0,1,êºñkêº,1
2018,1,7.1,1,êºñkêº,1
2018,2,6.5,1,êºñkêº,1
2018,3,5.6,1,êºñkêº,1
2018,4,4.6,1,êºñkêº,1
2018,5,4.1,1,êºñkêº,1
2018,6,3.8,1,ìå,1
2018,7,3.4,1,ìå,1
2018,8,4.3,1,ìå,1
2018,9,4.1,1,ìå,1
2018,10,4.8,1,êºñkêº,1
2018,11,5.1,1,êºñkêº,1
2018,12,6.7,1,êºñkêº,1
2019,1,6.8,1,êºñkêº,1
