#month,latitude(deg.),longitude(deg.),num_sample,mean_cur_dir(deg.),max_cur_dir(deg.),mean_cur_vel(knot),max_cur_vel(knot),stabilityv(%)
6,-64,-7,1,0,360,0,0.1,0
6,-59,-73,1,0,90,0,0.3,0
6,-58,-81,1,0,90,0,0.5,0
6,-58,-79,1,0,100,0,1,0
6,-58,-75,1,0,90,0,0.6,0
6,-58,-74,1,0,110,0,0.8,0
6,-58,-72,1,0,90,0,1,0
6,-58,-71,1,0,90,0,0.7,0
6,-57,-101,1,0,0,0,0,0
6,-57,-100,1,0,0,0,0,0
6,-57,-99,1,0,0,0,0,0
6,-57,-82,1,0,250,0,0.3,0
6,-57,-81,1,0,50,0,1,0
6,-57,-79,1,0,70,0,0.1,0
6,-57,-77,1,0,80,0,0.5,0
6,-57,-76,1,0,50,0,1,0
6,-57,-75,1,0,100,0,0.8,0
6,-57,-74,1,0,90,0,0.5,0
6,-57,-73,1,0,100,0,0.5,0
6,-57,-70,1,0,160,0,0.3,0
6,-57,-69,2,95,100,0.7,0.8,99
6,-57,-67,1,0,50,0,1,0
6,-57,-66,1,0,50,0,1,0
6,-57,73,1,0,100,0,1,0
6,-56,-102,1,0,0,0,0,0
6,-56,-81,1,0,110,0,0.7,0
6,-56,-77,1,0,80,0,0.5,0
6,-56,-75,2,3,20,0.4,1,68
6,-56,-74,1,0,90,0,0.3,0
6,-56,-72,1,0,140,0,1.5,0
6,-56,-71,2,93,90,1.2,1.5,99
6,-56,-70,1,0,110,0,0.5,0
6,-56,-68,1,0,120,0,0.7,0
6,-56,-67,3,25,30,0.5,1.4,45
6,-56,-66,2,74,70,0.8,1,99
6,-55,-100,1,0,60,0,0.3,0
6,-55,-88,1,0,40,0,1,0
6,-55,-75,3,116,100,0.6,1,92
6,-55,-74,1,0,180,0,0.3,0
6,-55,-66,2,11,20,1.7,2,98
6,-55,-64,1,0,90,0,0.8,0
6,-55,76,1,0,50,0,1.2,0
6,-55,90,1,0,340,0,0.5,0
6,-55,95,2,290,290,0.2,0.5,100
6,-54,-172,1,0,270,0,2,0
6,-54,-102,1,0,330,0,0.1,0
6,-54,-101,1,0,110,0,0.1,0
6,-54,-97,1,0,90,0,0.7,0
6,-54,-93,1,0,340,0,0.6,0
6,-54,-90,1,0,220,0,0.1,0
6,-54,-76,2,120,120,0.2,0.5,100
6,-54,-65,4,18,40,0.5,1.7,73
6,-54,-63,1,0,100,0,0.6,0
6,-54,78,1,0,70,0,0.5,0
6,-54,83,1,0,90,0,0.7,0
6,-54,86,1,0,90,0,0.7,0
6,-54,90,1,0,90,0,0.7,0
6,-54,94,1,0,0,0,0,0
6,-53,-133,1,0,0,0,0,0
6,-53,-128,1,0,340,0,0.7,0
6,-53,-78,1,0,170,0,0.6,0
6,-53,-76,7,146,120,0.7,1.5,85
6,-53,-75,2,146,140,0.7,1.9,60
6,-53,-71,1,0,250,0,2.5,0
6,-53,-70,1,0,220,0,3.3,0
6,-53,-69,1,0,280,0,0.6,0
6,-53,-68,3,134,160,0.1,0.7,38
6,-53,-65,1,0,340,0,0.3,0
6,-53,-64,2,351,360,0.2,0.5,93
6,-53,-63,1,0,10,0,0.3,0
6,-53,74,1,0,270,0,1,0
6,-53,82,1,0,120,0,1,0
6,-52,-155,1,0,90,0,0.5,0
6,-52,-129,1,0,200,0,0.3,0
6,-52,-117,1,0,260,0,0.6,0
6,-52,-101,1,0,360,0,0.1,0
6,-52,-95,1,0,100,0,0.6,0
6,-52,-92,1,0,330,0,1,0
6,-52,-77,7,200,170,0.2,1,49
6,-52,-76,3,176,130,0.8,1.4,72
6,-52,-75,1,0,220,0,0.3,0
6,-52,-68,14,68,30,0.2,0.8,61
6,-52,-67,3,39,60,0.1,0.7,42
6,-52,-66,1,0,90,0,0,0
6,-52,-64,1,0,20,0,0.3,0
6,-52,78,1,0,280,0,0.5,0
6,-52,83,1,0,300,0,0.6,0
6,-52,92,1,0,90,0,0.6,0
6,-51,-136,1,0,320,0,0.3,0
6,-51,-119,1,0,0,0,0,0
6,-51,-83,1,0,350,0,0.5,0
6,-51,-82,1,0,90,0,0,0
6,-51,-80,1,0,140,0,0.3,0
6,-51,-78,3,34,20,0.2,0.7,72
6,-51,-77,5,160,180,0.5,1.2,87
6,-51,-76,3,189,180,0.5,1,97
6,-51,-67,14,355,230,0.1,1,28
6,-51,-66,1,0,60,0,1,0
6,-51,-64,1,0,50,0,0.3,0
