　,　2018年　月平均気圧,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,単位　0.1hPa,
   ,国土地理院,,,　,,,,,,,,　,,,,,,,,,,　　　　　,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
1701,忍路,10101,,10141,,10152,,10122,,10105,,10084,,10102,,10090,,10134,,10143,,10189,,10160,,10127,小樽
1605,浅虫,10127,,10160,,10169,,10138,,10110,,10090,,10103,,10090,,10139,,10157,,10203,,10180,,10139,青森
1607,男鹿,10144,,10172,,10184,,10148,,10116,,10094,,10104,,10090,,10139,,10163,,10210,,10193,,10146,秋田
1604,鼠ヶ関,10148,,10175,,10186,,10150,,10118,,10095,,10104,,10091,,10137,,10164,,10210,,10195,,10148,酒田
1201,相馬,10145,,10173,,10180,,10145,,10116,,10095,,10104,,10092,,10143,,10166,,10208,,10193,,10147,福島
1609,小木,10161,,10184,,10189,,10152,,10119,,10093,,10100,,10090,,10131,,10164,,10210,,10205,,10150,相川
1603,柏崎,10166,,10189,,10188,,10152,,10118,,10092,,10099,,10090,,10131,,10165,,10212,,10210,,10151,高田
1602,輪島,10172,,10191,,10190,,10153,,10120,,10094,,10100,,10091,,10131,,10168,,10214,,10215,,10153,輪島
1303,勝浦,10141,,10164,,10170,,10149,,10119,,10097,,10112,,10092,,10135,,10154,,10193,,10183,,10142,勝浦
1301,油壺,10143,,10167,,10169,,10143,,10114,,10094,,10105,,10088,,10135,,10157,,10197,,10186,,10142,横浜
1304,伊東,10143,,10166,,10168,,10144,,10116,,10095,,10106,,10089,,10135,,10157,,10196,,10184,,10142,網代
1606,三国,10186,,10202,,10191,,10159,,10123,,10092,,10098,,10090,,10126,,10169,,10213,,10221,,10156,福井
1302,鬼崎,10178,,10193,,10179,,10155,,10122,,10092,,10101,,10088,,10126,,10163,,10203,,10212,,10151,名古屋
1601,田後,10194,,10206,,10193,,10158,,10122,,10091,,10094,,10087,,10126,,10171,,10218,,10228,,10157,鳥取
1401,海南,10194,,10205,,10187,,10159,,10125,,10091,,10097,,10089,,10119,,10166,,10210,,10222,,10155,和歌山
1610,須佐,10209,,10215,,10190,,10159,,10122,,10086,,10087,,10081,,10121,,10171,,10219,,10235,,10158,萩
1404,久礼,10193,,10201,,10179,,10160,,10126,,10090,,10098,,10090,,10116,,10165,,10208,,10220,,10154,高知
1502,仮屋,10216,,10219,,10189,,10161,,10121,,10083,,10081,,10075,,10116,,10171,,10216,,10238,,10157,平戸
1403,細島,10204,,10209,,10182,,10160,,10124,,10086,,10090,,10084,,10114,,10167,,10212,,10228,,10155,延岡
1501,阿久根,10214,,10216,,10183,,10164,,10121,,10083,40,10080,,10074,,10111,,10168,,10210,,10232,,10155,阿久根
1503,沖縄,10194,,10197,,10173,,10160,,10120,,10070,,10055,,10047,,10083,,10145,,10182,,10205,,10136,那覇
1305,田子,10144,,10167,,10166,,10150,,10119,,10094,,10109,,10093,,10129,,10153,,10188,,10181,,10141,石廊崎
1306,焼津,10146,,10167,,10167,,10148,,10117,,10093,,10107,,10090,,10130,,10154,,10191,,10182,,10141,静岡
1702,奥尻,10117,,10152,,10165,,10136,,10111,,10089,,10103,,10090,,10136,,10151,,10199,,10176,,10135,江差
1611,飛島,10148,,10175,,10186,,10150,,10118,,10095,,10104,,10091,,10137,,10164,,10210,,10195,,10148,酒田
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,気象庁,,,,,,,,,,,,,,,,,,,,,,,,,,　　
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
2701,稚内,10089,,10131,,10136,,10109,,10108,,10089,,10106,,10098,,10129,,10132,,10174,,10133,,10120,稚内
2702,網走,10091,,10138,,10142,,10117,,10112,,10092,,10110,,10101,,10140,,10146,,10179,,10133,,10125,網走
2101,花咲,10089,,10131,,10145,,10123,,10114,,10097,,10118,,10105,,10149,,10151,,10178,,10129,,10127,根室
2102,釧路,10093,,10135,,10145,,10124,,10112,,10095,,10114,,10102,,10147,,10150,,10182,,10137,,10128,釧路
2103,函館,10113,,10149,,10162,,10134,,10111,,10090,,10106,,10093,,10139,,10151,,10197,,10170,,10135,函館
2605,深浦,10133,,10163,,10174,,10139,,10108,,10088,,10099,,10086,,10135,,10156,,10205,,10186,,10139,深浦
,,験潮場最寄りの気象官署（備考欄）における測定値です,,,,,,,,,,,,,,,,,,,,,,,,,
,,各月の右側の欄の数値は次のとおりです。（４０：準正常値。一部欠測　９：資料不足値。資料不測のため十分な信頼性がありません。）,,,,,,,,,,,,,,,,,,,,,,,,,
,,太字は前月月報の変更箇所,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
