　,　2009年　月平均気圧,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb
,,,,,,,,,,,,,,,,,,,,,,,,,,単位　0.1hPa,
,国土地理院,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
1701.0,忍路,10160.0,,10126.0,,10124.0,,10124.0,,10103.0,,10072.0,,10064.0,,10099.0,,10132.0,,10132.0,,10186.0,,10123.0,,10120.416666666666,小樽
1605.0,浅虫,10169.0,,10145.0,,10149.0,,10132.0,,10114.0,,10078.0,,10066.0,,10102.0,,10135.0,,10145.0,,10193.0,,10141.0,,10130.75,青森
1607.0,男鹿,10176.0,,10159.0,,10164.0,,10139.0,,10120.0,,10075.0,,10070.0,,10099.0,,10134.0,,10149.0,,10197.0,,10150.0,,10136.0,秋田
1604.0,鼠ヶ関,10178.0,,10164.0,,10170.0,,10142.0,,10122.0,,10075.0,,10072.0,,10100.0,,10136.0,40.0,10152.0,,10199.0,,10153.0,,10138.583333333334,酒田
1201.0,相馬,10178.0,,10158.0,,10165.0,,10137.0,,10120.0,,10078.0,,10074.0,,10105.0,,10140.0,,10153.0,,10201.0,,10153.0,,10138.5,福島
1609.0,小木,10185.0,,10172.0,,10174.0,,10143.0,,10122.0,,10073.0,,10072.0,,10098.0,,10135.0,,10150.0,,10199.0,,10158.0,,10140.083333333334,相川
1603.0,柏崎,10191.0,,10175.0,,10177.0,,10144.0,,10122.0,,10072.0,,10072.0,,10098.0,,10135.0,,10152.0,,10202.0,,10163.0,,10141.916666666666,高田
1602.0,輪島,10193.0,,10178.0,,10177.0,,10144.0,,10121.0,,10072.0,,10070.0,,10098.0,,10136.0,,10152.0,,10201.0,,10164.0,,10142.166666666666,輪島
1303.0,勝浦,10166.0,,10147.0,,10156.0,40.0,10130.0,,10117.0,,10078.0,,10083.0,,10096.0,,10127.0,,10142.0,,10186.0,,10141.0,,10130.75,勝浦
1301.0,油壺,10170.0,,10149.0,,10157.0,,10129.0,,10115.0,,10075.0,,10076.0,,10096.0,,10130.0,,10144.0,,10191.0,,10145.0,,10131.416666666666,横浜
1304.0,伊東,10168.0,,10148.0,,10156.0,,10130.0,,10115.0,,10076.0,,10079.0,,10096.0,,10130.0,,10143.0,,10189.0,,10145.0,,10131.25,網代
1606.0,三国,10201.0,,10183.0,,10182.0,,10148.0,,10124.0,,10073.0,,10074.0,,10095.0,,10131.0,,10154.0,,10204.0,,10176.0,,10145.416666666666,福井
1302.0,鬼崎,10194.0,,10170.0,,10173.0,,10139.0,,10118.0,,10074.0,,10080.0,,10093.0,,10124.0,,10146.0,,10197.0,,10169.0,,10139.75,名古屋
1601.0,田後,10208.0,,10185.0,,10182.0,,10149.0,,10127.0,,10070.0,,10071.0,,10095.0,,10135.0,,10158.0,,10209.0,,10183.0,,10147.666666666666,鳥取
1401.0,海南,10205.0,,10180.0,,10180.0,,10146.0,,10120.0,,10073.0,,10079.0,,10090.0,,10124.0,,10150.0,,10200.0,,10181.0,,10144.0,和歌山
1610.0,須佐,10220.0,,10185.0,,10183.0,,10153.0,,10126.0,,10068.0,,10071.0,,10089.0,,10128.0,,10159.0,,10210.0,,10196.0,,10149.0,萩
1404.0,久礼,10203.0,,10170.0,,10174.0,,10145.0,,10117.0,,10074.0,,10082.0,,10089.0,,10120.0,,10147.0,,10194.0,,10179.0,,10141.166666666666,高知
1502.0,仮屋,10228.0,,10184.0,,10183.0,,10155.0,,10127.0,,10068.0,,10071.0,,10085.0,,10122.0,,10156.0,,10208.0,,10203.0,,10149.166666666666,平戸
1403.0,細島,10215.0,,10177.0,40.0,10178.0,,10151.0,,10120.0,,10073.0,,10079.0,,10088.0,,10120.0,,10152.0,,10200.0,,10192.0,,10145.416666666666,延岡
1501.0,阿久根,10224.0,,10180.0,,10181.0,,10156.0,,10123.0,,10074.0,,10083.0,,10083.0,,10114.0,,10151.0,,10201.0,,10200.0,,10147.5,阿久根
1503.0,沖縄,10214.0,,10175.0,,10161.0,,10149.0,,10120.0,,10079.0,,10090.0,,10062.0,,10089.0,,10121.0,,10173.0,,10191.0,,10135.333333333334,那覇
1305.0,田子,10169.0,,10148.0,,10159.0,,10133.0,,10117.0,,10081.0,,10089.0,,10096.0,,10124.0,,10140.0,,10184.0,,10146.0,,10132.166666666666,石廊崎
1306.0,焼津,10169.0,,10145.0,,10156.0,,10130.0,,10115.0,,10077.0,,10082.0,,10094.0,,10125.0,,10139.0,,10184.0,,10145.0,,10130.083333333334,静岡
1307.0,初島,10168.0,,10148.0,,10156.0,,10130.0,,10115.0,,10076.0,,10079.0,,10096.0,,10130.0,,10143.0,,10189.0,,10145.0,,10131.25,網代
1308.0,真鶴,10168.0,,10148.0,,10156.0,,10130.0,,10115.0,,10076.0,,10079.0,,10096.0,,10130.0,,10143.0,,10189.0,,10145.0,,10131.25,網代
1702.0,奥尻,10166.0,,10140.0,,10142.0,,10133.0,,10112.0,,10075.0,,10065.0,,10101.0,,10134.0,,10140.0,,10189.0,,10135.0,,10127.666666666666,江差
1611,飛島,10178.0,,10164.0,,10170.0,,10142.0,,10122.0,,10075.0,,10072.0,,10100.0,,10136.0,40.0,10152.0,,10199.0,,10153.0,,10138.583333333334,酒田
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,気象庁,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
2701.0,稚内,10155.0,,10114.0,,10110.0,,10116.0,,10095.0,,10083.0,,10074.0,,10097.0,,10125.0,,10117.0,,10176.0,,10111.0,,10114.416666666666,稚内
2702.0,網走,10154.0,,10113.0,,10117.0,,10123.0,,10103.0,,10094.0,,10076.0,,10106.0,,10133.0,,10127.0,,10181.0,,10119.0,,10120.5,網走
2101.0,花咲,10148.0,,10109.0,,10121.0,,10125.0,,10112.0,,10109.0,,10078.0,,10115.0,,10138.0,,10128.0,,10179.0,,10116.0,,10123.166666666666,根室
2102.0,釧路,10154.0,,10116.0,,10123.0,,10126.0,,10112.0,,10103.0,,10075.0,,10111.0,,10136.0,,10130.0,,10182.0,,10121.0,,10124.083333333334,釧路
2103.0,函館,10164.0,,10135.0,,10139.0,,10131.0,,10113.0,,10082.0,,10066.0,,10104.0,,10135.0,,10141.0,,10189.0,,10133.0,,10127.666666666666,函館
,,験潮場最寄りの気象官署（備考欄）における測定値です,,,,,,,,,,,,,,,,,,,,,,,,,
,,各月の右側の欄は欠測日数です（４０は日数不明）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　2009年　月平均気圧,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,単位　0.1hPa,
,気象庁,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
2201.0,八戸,10167.0,,10140.0,,10146.0,,10131.0,,10115.0,,10082.0,,10068.0,,10106.0,,10136.0,,10146.0,,10194.0,,10140.0,,10130.916666666666,八戸
2605.0,深浦,10174.0,,10155.0,,10158.0,,10137.0,,10116.0,,10074.0,,10068.0,,10101.0,,10137.0,,10148.0,,10196.0,,10147.0,,10134.25,深浦
2202.0,宮古,10165.0,,10139.0,,10148.0,,10130.0,,10116.0,,10083.0,,10071.0,,10109.0,,10138.0,,10147.0,,10194.0,,10139.0,,10131.583333333334,宮古
2203.0,大船渡,10168.0,,10147.0,,10157.0,,10134.0,,10122.0,,10084.0,,10075.0,,10110.0,,10141.0,,10151.0,,10198.0,,10144.0,,10135.916666666666,大船渡
2205.0,鮎川,10172.0,,10153.0,,10161.0,,10136.0,,10122.0,,10082.0,,10076.0,,10108.0,,10139.0,,10150.0,,10198.0,,10148.0,,10137.083333333334,石巻
2204.0,小名浜,10173.0,,10154.0,,10163.0,,10135.0,,10122.0,,10082.0,,10079.0,,10106.0,,10139.0,,10150.0,,10196.0,,10148.0,,10137.25,小名浜
2301.0,銚子漁港,10168.0,,10149.0,,10157.0,,10132.0,,10119.0,,10080.0,,10081.0,,10099.0,,10132.0,,10145.0,,10189.0,,10142.0,,10132.75,銚子
2606.0,富山,10199.0,,10181.0,,10180.0,,10146.0,,10122.0,,10073.0,,10073.0,,10098.0,,10135.0,,10154.0,,10204.0,,10172.0,,10144.75,富山
2302.0,布良,10169.0,,10148.0,,10157.0,40.0,10132.0,,10118.0,40.0,10076.0,40.0,10084.0,,10095.0,,10127.0,,10142.0,,10187.0,,10143.0,,10131.5,館山
2304.0,岡田,10168.0,,10147.0,,10156.0,,10131.0,,10117.0,,10079.0,,10086.0,,10095.0,,10127.0,40.0,10141.0,,10185.0,,10144.0,,10131.333333333334,大島
2314.0,父島,10182.0,,10172.0,,10166.0,,10142.0,,10128.0,,10116.0,,10122.0,,10082.0,,10087.0,,10138.0,,10161.0,,10151.0,,10137.25,父島
2308.0,内浦,10170.0,,10147.0,,10157.0,,10131.0,,10118.0,,10079.0,,10084.0,,10096.0,,10128.0,,10144.0,,10190.0,,10148.0,,10132.666666666666,三島
2309.0,清水港,10169.0,,10145.0,,10156.0,,10130.0,,10115.0,,10077.0,,10082.0,,10094.0,,10125.0,,10139.0,,10184.0,,10145.0,,10130.083333333334,静岡
2310.0,舞阪,10182.0,,10157.0,,10165.0,,10135.0,,10117.0,,10078.0,,10086.0,,10094.0,,10124.0,,10142.0,,10189.0,,10158.0,,10135.583333333334,浜松
2305.0,御前崎,10174.0,,10149.0,,10159.0,,10132.0,,10115.0,,10078.0,,10085.0,,10094.0,,10123.0,,10139.0,,10184.0,,10150.0,,10131.833333333334,御前崎
2306.0,鳥羽,10197.0,,10174.0,,10176.0,,10143.0,,10120.0,,10075.0,,10080.0,,10094.0,,10126.0,,10148.0,,10199.0,,10172.0,,10142.0,津
2307.0,尾鷲,10189.0,,10164.0,,10168.0,,10139.0,,10118.0,,10076.0,,10081.0,,10094.0,,10124.0,,10145.0,,10193.0,,10166.0,,10138.083333333334,尾鷲
2411.0,浦神,10189.0,,10163.0,,10167.0,,10139.0,,10115.0,,10076.0,,10087.0,,10090.0,,10117.0,40.0,10139.0,,10188.0,,10166.0,,10136.333333333334,潮岬
2401.0,串本,10189.0,,10163.0,,10167.0,,10139.0,,10115.0,,10076.0,,10087.0,,10090.0,,10117.0,40.0,10139.0,,10188.0,,10166.0,,10136.333333333334,潮岬
2405.0,洲本,10205.0,,10181.0,,10180.0,,10146.0,,10121.0,,10072.0,,10077.0,,10091.0,,10125.0,,10151.0,,10202.0,,10181.0,,10144.333333333334,洲本
2410.0,白浜,10205.0,,10180.0,,10180.0,,10146.0,,10120.0,,10073.0,,10079.0,,10090.0,,10124.0,,10150.0,,10200.0,,10181.0,,10144.0,和歌山
2603.0,西郷,10204.0,40.0,10184.0,,10180.0,,10146.0,,10125.0,,10068.0,,10068.0,,10097.0,,10137.0,,10157.0,,10207.0,,10178.0,,10145.916666666666,西郷
2602.0,境,10209.0,,10184.0,,10181.0,,10148.0,,10125.0,,10067.0,,10068.0,,10093.0,,10133.0,,10157.0,,10208.0,,10183.0,,10146.333333333334,境
2407.0,宇野,10212.0,,10186.0,,10184.0,,10146.0,,10121.0,,10069.0,,10074.0,,10089.0,,10127.0,,10155.0,,10207.0,,10188.0,,10146.5,岡山
2601.0,浜田,10213.0,,10183.0,,10180.0,,10150.0,,10125.0,,10066.0,,10067.0,,10089.0,,10129.0,,10157.0,,10208.0,,10189.0,,10146.333333333334,浜田
2412.0,小松島,10206.0,,10181.0,,10181.0,,10146.0,,10121.0,,10072.0,,10077.0,,10090.0,,10125.0,,10152.0,,10203.0,,10183.0,,10144.75,徳島
2406.0,高松,10210.0,,10184.0,,10182.0,,10147.0,,10121.0,,10070.0,,10075.0,,10089.0,,10126.0,,10154.0,,10205.0,,10187.0,,10145.833333333334,高松
2402.0,室戸岬,10196.0,,10167.0,,10170.0,,10143.0,,10116.0,,10074.0,,10083.0,,10088.0,,10118.0,,10141.0,,10188.0,,10172.0,,10138.0,室戸岬
2408.0,松山,10215.0,,10181.0,,10180.0,,10149.0,,10120.0,,10069.0,,10075.0,,10086.0,,10121.0,,10153.0,,10204.0,,10192.0,,10145.416666666666,松山
2404.0,宇和島,10216.0,,10181.0,,10182.0,,10153.0,,10122.0,,10074.0,,10082.0,,10089.0,,10122.0,,10154.0,,10202.0,,10193.0,,10147.5,宇和島
2403.0,土佐清水,10206.0,,10171.0,,10174.0,,10146.0,,10117.0,,10074.0,,10083.0,,10086.0,,10117.0,,10144.0,,10192.0,,10182.0,,10141.0,清水
2503.0,三角,10228.0,,10183.0,,10181.0,,10153.0,,10122.0,,10070.0,,10078.0,,10081.0,,10115.0,,10154.0,,10206.0,,10203.0,,10147.833333333334,熊本
2409.0,油津,10212.0,,10173.0,,10175.0,,10149.0,,10117.0,,10073.0,,10084.0,,10082.0,40.0,10113.0,,10144.0,,10191.0,,10187.0,,10141.666666666666,油津
2501.0,鹿児島,10219.0,,10176.0,,10178.0,,10153.0,,10120.0,,10074.0,,10085.0,,10081.0,,10111.0,,10147.0,,10196.0,,10196.0,,10144.666666666666,鹿児島
2502.0,枕崎,10216.0,,10174.0,,10175.0,,10152.0,,10119.0,,10074.0,,10085.0,,10081.0,,10110.0,,10144.0,,10193.0,,10193.0,,10143.0,枕崎
2313.0,東京,10173.0,,10152.0,,10158.0,,10130.0,,10116.0,,10075.0,,10074.0,,10097.0,,10132.0,,10146.0,,10193.0,,10147.0,,10132.75,東京
,,験潮場最寄りの気象官署（備考欄）における測定値です,,,,,,,,,,,,,,,,,,,,,,,,,
,,各月の右側の欄は欠測日数です（４０は日数不明）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　2009年　月平均気圧,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,単位　0.1hPa,
,気象庁,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
2311.0,名古屋,10194.0,,10170.0,,10173.0,,10139.0,,10118.0,,10074.0,,10080.0,,10093.0,,10124.0,,10146.0,,10197.0,,10169.0,,10139.75,名古屋
2413.0,和歌山,10205.0,,10180.0,,10180.0,,10146.0,,10120.0,,10073.0,,10079.0,,10090.0,,10124.0,,10150.0,,10200.0,,10181.0,,10144.0,和歌山
2414.0,淡輪,10204.0,,10181.0,,10180.0,,10144.0,,10120.0,,10072.0,,10076.0,,10089.0,,10124.0,,10150.0,,10201.0,,10180.0,,10143.416666666666,大阪
2415.0,大阪,10204.0,,10181.0,,10180.0,,10144.0,,10120.0,,10072.0,,10076.0,,10089.0,,10124.0,,10150.0,,10201.0,,10180.0,,10143.416666666666,大阪
2416.0,神戸,10203.0,,10181.0,,10180.0,,10145.0,,10121.0,,10073.0,,10079.0,,10090.0,,10125.0,,10150.0,,10201.0,,10180.0,,10144.0,神戸
2417.0,高知,10203.0,,10170.0,,10174.0,,10145.0,,10117.0,,10074.0,,10082.0,,10089.0,,10120.0,,10147.0,,10194.0,,10179.0,,10141.166666666666,高知
2504.0,那覇,10214.0,,10175.0,,10161.0,,10149.0,,10120.0,,10079.0,,10090.0,,10062.0,,10089.0,,10121.0,,10173.0,,10191.0,,10135.333333333334,那覇
2505.0,石垣,10211.0,,10166.0,,10158.0,,10142.0,,10120.0,,10070.0,,10078.0,,10047.0,,10085.0,,10114.0,,10168.0,,10191.0,,10129.166666666666,石垣島
2506.0,大浦,10229.0,,10185.0,,10183.0,,10154.0,,10124.0,,10068.0,,10074.0,,10082.0,,10120.0,,10157.0,,10209.0,,10204.0,,10149.083333333334,佐賀
2507.0,口之津,10228.0,,10182.0,,10182.0,,10156.0,,10125.0,,10071.0,,10077.0,,10082.0,,10117.0,,10155.0,,10206.0,,10203.0,,10148.666666666666,長崎
2508.0,長崎,10228.0,,10182.0,,10182.0,,10156.0,,10125.0,,10071.0,,10077.0,,10082.0,,10117.0,,10155.0,,10206.0,,10203.0,,10148.666666666666,長崎
2509.0,福江,10231.0,,10185.0,,10185.0,,10158.0,,10129.0,,10070.0,,10073.0,,10083.0,40.0,10121.0,,10158.0,,10210.0,,10206.0,,10150.75,福江
2510.0,下関,10223.0,,10186.0,,10183.0,,10153.0,,10126.0,,10068.0,,10072.0,,10087.0,,10125.0,,10158.0,,10209.0,,10198.0,,10149.0,下関
