a,b,2011年　月平均潮位　　1/4,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,単位　　mm,aa,bb,cc
番号,験潮場名,所属,１月,*,２月,*,３月,*,４月,*,５月,*,６月,*,７月,*,８月,*,９月,*,１０月,*,１１月,*,１２月,*,年平均,
1701.0,忍路,国土地理院,1392.0,,1268.0,,1268.0,,1318.0,,1387.0,,1450.0,1.0,1449.0,,1546.0,1.0,1487.0,,1455.0,,1411.0,,1361.0,,1399.3333333333333,
1605.0,浅虫,国土地理院,1154.0,,1004.9999999999999,,993.0,,1018.9999999999999,1.0,1070.0,,1123.0,1.0,1164.0,1.0,1253.0,,1211.0,,1179.0,1.0,1125.0,,1089.0,,1115.4166666666667,
1607.0,男鹿,国土地理院,732.0,,601.0,,588.0,,629.0,,711.0,,753.0,,841.0,1.0,948.0,,890.0,2.0,876.0,,822.0,1.0,732.0,,760.25,
1604.0,鼠ヶ関,国土地理院,1138.0,,976.0,,971.0,,996.0,,1076.0,,1150.0,,1234.0,1.0,1346.0,,1275.0,,1277.0,1.0,1224.0,,1136.0,,1149.9166666666667,
1201.0,相馬※1,国土地理院,2812.0,,2663.0,,－－－,21.0,－－－,30.0,－－－,31.0,－－－,15.0,2183.0,,2227.0,1.0,2245.0,,2176.0,,2116.0,,2088.0,,－－－,
1609.0,小木,国土地理院,1484.0,,1373.0,,1351.0,,1369.0,,1442.0,,1511.0,,1577.0,,1620.0,,1604.0,,1589.0,1.0,1573.0,,1493.0,,1498.8333333333333,
1603.0,柏崎,国土地理院,1533.0,,1357.0,,1354.0,,1354.0,,1440.0,,1514.0,,1589.0,,1701.0,,1642.0,2.0,1636.0,,1595.0,,1525.0,,1520.0,
1602.0,輪島,国土地理院,1018.0,1.0,888.0,,897.0,,917.0,,1014.9999999999999,,1108.0,,1195.0,,1307.0,1.0,1236.0,,1208.0,1.0,1162.0,,1064.0,,1084.5833333333333,
1303.0,勝浦,国土地理院,3027.0,,2892.0,,2961.0,,2940.0,,2958.0,,2994.0,,3009.0,,3093.0,,3074.0,,3033.0,,3000.0,,3001.0,1.0,2998.5,
1301.0,油壺,国土地理院,2626.0,1.0,2521.0,1.0,2560.0,5.0,2553.0,,2583.0,,2649.0,,2657.0,,2722.0,,2762.0,,2641.0,,2650.0,1.0,2634.0,,2629.8333333333335,
1304.0,伊東,国土地理院,2225.0,,2131.0,,2155.0,,2144.0,,2181.0,,2250.0,,2254.0,,2320.0,,2369.0,,2246.0,,2254.0,1.0,2244.0,1.0,2231.0833333333335,
1606.0,三国,国土地理院,2017.0,,1879.0,,1883.0,,1881.0,2.0,1991.0,,2080.0,,2169.0,,2293.0,,2227.0,,2213.0,1.0,2153.0,,2059.0,,2070.4166666666665,
1302.0,鬼崎,国土地理院,2254.0,,2264.0,,2241.0,,2286.0,,2373.0,,2511.0,,2493.0,,2553.0,,2609.0,,2436.0,,2434.0,1.0,2351.0,,2400.4166666666665,
1601.0,田後,国土地理院,2107.0,,2008.0,,2019.0000000000002,,2050.0,,2169.0,,2272.0,,2368.0,1.0,2481.0,1.0,2406.0,,2376.0,,2298.0,,2193.0,,2228.9166666666665,
1401.0,海南,国土地理院,2126.0,,2093.0,,2112.0,,2140.0,,2252.0,,2373.0,,2412.0,1.0,2468.0,,2587.0,,2468.0,,2382.0,,2289.0,,2308.5,
1610.0,須佐,国土地理院,1456.0,1.0,1442.0,,1442.0,,1489.0,,1610.0,,1709.0,,1804.0,1.0,1922.0,1.0,1848.0,,1795.0,,1718.0,,1594.0,,1652.4166666666667,
1404.0,久礼,国土地理院,2149.0,,2154.0,,2093.0,,2152.0,,2234.0,,2342.0,,2402.0,1.0,2419.0,,2535.0,,2455.0,,2388.0,,2302.0,,2302.0833333333335,
1502.0,仮屋,国土地理院,2448.0,,2469.0,,2459.0,,2510.0,,2639.0,,2739.0,,2816.0,,2927.0,,2899.0,,2818.0,,2736.0,,2594.0,,2671.1666666666665,
1403.0,細島,国土地理院,2248.0,,2260.0,6.0,2270.0,,2287.0,,2429.0,,2482.0,,2514.0,,2595.0,,2679.0,1.0,2561.0,,2502.0,,2387.0,,2434.5,
1501.0,阿久根,国土地理院,3197.0,,3261.0,,3234.0,,3267.0,,3408.0,,3490.0,,3568.0,,3657.0,1.0,3698.0,1.0,3573.0,,3488.0,,3349.0,,3432.5,
1503.0,沖縄,国土地理院,2040.0,,2027.0000000000002,1.0,1992.0,1.0,2087.0,,2187.0,,2256.0,,2315.0,,2340.0,,2424.0,1.0,2210.0,,2172.0,,2156.0,,2183.8333333333335,
1305.0,田子,国土地理院,2586.0,,2549.0,,2531.0,,2534.0,,2586.0,,2696.0,,2667.0,,2729.0,1.0,2770.0,,2652.0,,2702.0,1.0,2676.0,,2639.8333333333335,
1306.0,焼津,国土地理院,3238.0,5.0,3190.0,7.0,3171.0,,3174.0,,3231.0,,3349.0,,3319.0,,3386.0,1.0,3438.0,,3311.0,2.0,3345.0,,3311.0,,3288.5833333333335,
1307.0,初島,国土地理院,2823.0,1.0,2720.0,,2748.0,,2744.0,,2784.0,,2857.0,,2864.0,,2930.0,,2980.0,,2850.0,,2861.0,,2849.0,3.0,2834.1666666666665,
1308.0,真鶴,国土地理院,2702.0,,2605.0,1.0,2621.0,4.0,2626.0,1.0,2661.0,,2728.0,,2742.0,,2805.0,,2845.0,2.0,2725.0,,2735.0,,2714.0,1.0,2709.0833333333335,
1702.0,奥尻,国土地理院,1192.0,,1077.0,,1081.0,,1085.0,,1175.0,,1235.0,,1251.0,1.0,1324.0,,1281.0,,1215.0,,1187.0,,1195.0,,1191.5,
1611.0,飛島,国土地理院,2096.0,,1928.0,,1883.0,,1942.0,,2000.0,,2083.0,,2135.0,1.0,2230.0,,2198.0,,2194.0,,2113.0,,2080.0,,2073.5,
2701.0,稚内,気象庁,1762.0,,1665.0,,1680.0,,1718.0,,1764.0,,1839.0,,1830.0,,1943.0,,1900.0,,1884.0,,1839.0,,1778.0,,1800.1666666666667,
2702.0,網走,気象庁,1693.0,,1478.0,,1430.0,,1421.0,,1444.0,,1495.0,,1503.0,,1555.0,,1546.0,,1496.0,,1510.0,,1593.0,,1513.6666666666667,
2101.0,花咲,気象庁,2241.0,,2085.0,,2081.0,,2059.0,,2064.0,,2101.0,,2104.0,,2136.0,,2135.0,,2107.0,,2100.0,,2179.0,,2116.0,
2102.0,釧路,気象庁,2016.0,,1868.0,,1864.0,,1851.0,,1854.0,,1895.0,,1898.0,,1922.0,,1928.0,,1887.0,,1873.0,,1938.0,,1899.5,
2103.0,函館,気象庁,1535.0,,1388.0,,1366.0,,1396.0,,1425.0,,1473.0,,1497.0,,1574.0,,1544.0,,1487.0,,1447.0,,1450.0,,1465.1666666666667,
2201.0,八戸,気象庁,865.0,,711.0,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,3.11地震
