tobashi,,st,lon,lat,tem,sal,oxg
,201801,,,,,,
1,2018010514.asc,14,11,2,2,3,
1,2018010522.asc,22,10,2,2,3,
1,2018010513.asc,13,9,2,2,3,
,201802,,,,,,
1,18020907.asc,7,0,0,3,6,
1,18020908.asc,8,4,2,3,6,
1,18020909.asc,9,5,2,3,6,
1,18020910.asc,10,6,2,3,6,
1,18020911.asc,11,7,2,3,6,
1,18020914.asc,14,11,2,3,6,
1,18020922.asc,22,10,2,3,6,
1,18021012.asc,12,8,2,3,6,
1,18021013.asc,13,9,2,3,6,
2,ST-2a(XCTD).xlsx      ,2a,9,1,2,4,
1,18020901.asc,1,10,1,3,6,
1,18020902.asc,2,8,1,3,6,
1,18020903.asc,3,7,1,3,6,
1,18020904.asc,4,6,1,3,6,
1,18020905.asc,5,5,1,3,6,
1,18020906.asc,6,4,1,3,6,
,201803,,,,,,
1,18030420.asc,20,2,2,3,6,
1,18030421.asc,21,3,2,3,6,
1,18030508.asc,8,4,2,3,6,
1,18030509.asc,9,5,2,3,6,
1,18030510.asc,10,6,2,3,6,
1,18030511.asc,11,7,2,3,6,
1,18030512.asc,12,8,2,3,6,
1,18030301.asc,1,10,1,3,6,
1,18030313.asc,13,9,2,3,6,
1,18030314.asc,14,11,2,3,6,
1,18030322.asc,22,10,2,3,6,
1,18030402.asc,2,8,1,3,6,
1,18030402a.asc,2a,9,1,3,6,
1,18030403.asc,3,7,1,3,6,
1,18030404.asc,4,6,1,3,6,
1,18030405.asc,5,5,1,3,6,
1,18030406.asc,6,4,1,3,6,
1,18030415.asc,15,3,1,3,6,
1,18030416.asc,16,2,1,3,6,
1,18030417.asc,17,1,1,3,6,
1,18030418.asc,18,0,0,3,6,
1,18030419.asc,19,1,2,3,6,
,201804,,,,,,
1,18041307.asc,7,0,0,3,6,
1,18041308.asc,8,4,2,3,6,
1,18041309.asc,9,5,2,3,6,
1,18041310.asc,10,6,2,3,6,
1,1804132a.asc,2a,9,1,3,6,
1,18041211.asc,11,7,2,3,6,
1,18041212.asc,12,8,2,3,6,
1,18041213.asc,13,9,2,3,6,
1,18041214.asc,14,11,2,3,6,
1,18041222.asc,22,10,2,3,6,
1,18041301.asc,1,10,1,3,6,
1,18041302.asc,2,8,1,3,6,
1,18041303.asc,3,7,1,3,6,
1,18041304.asc,4,6,1,3,6,
1,18041305.asc,5,5,1,3,6,
1,18041306.asc,6,4,1,3,6,
,201805,,,,,,
1,2018051012.asc,12,8,2,2,3,
1,2018051013.asc,13,9,2,2,3,
1,2018051014.asc,14,11,2,2,3,
1,2018051022.asc,22,10,2,2,3,
1,2018050901.asc,1,10,1,2,3,
1,2018050902.asc,2,8,1,2,3,
1,2018050902a.asc,2a,9,1,2,3,
1,2018050903.asc,3,7,1,2,3,
1,2018050904.asc,4,6,1,2,3,
1,2018050905.asc,5,5,1,2,3,
1,2018050906.asc,6,4,1,2,3,
1,2018050907.asc,7,0,0,2,3,
1,2018050908.asc,8,4,2,2,3,
1,2018050909.asc,9,5,2,2,3,
1,2018051010.asc,10,6,2,2,3,
1,2018051011.asc,11,7,2,2,3,
,201806,,,,,,
1,18053017.asc,17,1,1,3,6,
1,18053018.asc,18,0,0,3,6,
1,18053019.asc,19,1,2,3,6,
1,18053020.asc,20,2,2,3,6,
1,18053021.asc,21,3,2,3,6,
1,18053101.asc,1,10,1,3,6,
1,18053102.asc,2,8,1,3,6,
1,18053103.asc,3,7,1,3,6,
1,18053104.asc,4,6,1,3,6,
1,18053105.asc,5,5,1,3,6,
1,18053114.asc,14,11,2,3,6,
1,18053122.asc,22,10,2,3,6,
1,1805312a.asc,2a,9,1,3,6,
1,18052913.asc,13,9,2,3,6,
1,18053006.asc,6,4,1,3,6,
1,18053008.asc,8,4,2,3,6,
1,18053009.asc,9,5,2,3,6,
1,18053010.asc,10,6,2,3,6,
1,18053011.asc,11,7,2,3,6,
1,18053012.asc,12,8,2,3,6,
1,18053015.asc,15,3,1,3,6,
1,18053016.asc,16,2,1,3,6,
,201807,,,,,,
1,2018062614.asc,14,11,2,2,3,
1,2018062622.asc,22,10,2,2,3,
1,2018062613.asc,13,9,2,2,3,
,201808,,,,,,
1,2018072610.asc,10,6,2,2,3,
1,2018072611.asc,11,7,2,2,3,
1,2018072612.asc,12,8,2,2,3,
1,2018072613.asc,13,9,2,2,3,
1,2018072614.asc,14,11,2,2,3,
1,2018072622.asc,22,10,2,2,3,
1,2018072501.asc,1,10,1,2,3,
1,2018072502.asc,2,8,1,2,3,
1,2018072502a.asc,2a,9,1,2,3,
1,2018072503.asc,3,7,1,2,3,
1,2018072504.asc,4,6,1,2,3,
1,2018072505.asc,5,5,1,2,3,
1,2018072506.asc,6,4,1,2,3,
1,2018072507.asc,7,0,0,2,3,
1,2018072508.asc,8,4,2,2,3,
